      HGT,    UWind,    VWind,   TMP,isoBar_Pa,latitude,longitude,forecast_time_hr,forecast_time_unix
39342.637,35.749126,5.9368796,248.45,    300.0,    37.5,   -81.5, 12:00:00,        1681056000.0
39345.355,35.559128,5.34688,248.45,300.0,37.5,-81.25,12:00:00,1681056000.0
39348.08,35.45913,4.8168797,248.43999,300.0,37.5,-81.0,12:00:00,1681056000.0
39351.195,35.32913,4.4168797,248.47,300.0,37.5,-80.75,12:00:00,1681056000.0
39354.477,35.139126,4.09688,248.43999,300.0,37.5,-80.5,12:00:00,1681056000.0
39357.277,35.07913,3.7868798,248.31,300.0,37.5,-80.25,12:00:00,1681056000.0
39358.637,35.25913,3.4868798,248.15999,300.0,37.5,-80.0,12:00:00,1681056000.0
39359.035,35.57913,3.1868799,248.08,300.0,37.5,-79.75,12:00:00,1681056000.0
39359.117,35.889126,2.9968798,248.14,300.0,37.5,-79.5,12:00:00,1681056000.0
39359.676,36.109127,2.90688,248.29,300.0,37.5,-79.25,12:00:00,1681056000.0
39360.715,36.249126,2.8468797,248.43999,300.0,37.5,-79.0,12:00:00,1681056000.0
39362.156,36.339127,2.6968799,248.59,300.0,37.5,-78.75,12:00:00,1681056000.0
39364.156,36.319126,2.4768798,248.72,300.0,37.5,-78.5,12:00:00,1681056000.0
39366.24,36.249126,2.1868799,248.81999,300.0,37.5,-78.25,12:00:00,1681056000.0
39368.316,36.159126,1.8868798,248.92,300.0,37.5,-78.0,12:00:00,1681056000.0
39370.555,35.999126,1.6368798,248.98999,300.0,37.5,-77.75,12:00:00,1681056000.0
39372.555,35.909126,1.4068799,248.98,300.0,37.5,-77.5,12:00:00,1681056000.0
39350.24,35.909126,5.50688,248.12,300.0,37.25,-81.5,12:00:00,1681056000.0
39352.316,35.82913,5.1268797,248.26999,300.0,37.25,-81.25,12:00:00,1681056000.0
39355.355,35.66913,4.6668797,248.42,300.0,37.25,-81.0,12:00:00,1681056000.0
39359.035,35.499126,4.23688,248.48999,300.0,37.25,-80.75,12:00:00,1681056000.0
39362.637,35.399128,3.7668798,248.51,300.0,37.25,-80.5,12:00:00,1681056000.0
39365.676,35.389126,3.2368798,248.51,300.0,37.25,-80.25,12:00:00,1681056000.0
39367.516,35.469128,2.7568798,248.51,300.0,37.25,-80.0,12:00:00,1681056000.0
39368.797,35.52913,2.4468799,248.53,300.0,37.25,-79.75,12:00:00,1681056000.0
39370.08,35.54913,2.38688,248.51,300.0,37.25,-79.5,12:00:00,1681056000.0
39370.957,35.68913,2.4468799,248.45,300.0,37.25,-79.25,12:00:00,1681056000.0
39371.438,35.979126,2.41688,248.42,300.0,37.25,-79.0,12:00:00,1681056000.0
39371.996,36.229126,2.2468798,248.56,300.0,37.25,-78.75,12:00:00,1681056000.0
39373.355,36.29913,2.0568798,248.78,300.0,37.25,-78.5,12:00:00,1681056000.0
39375.277,36.219128,1.8668798,248.98,300.0,37.25,-78.25,12:00:00,1681056000.0
39377.438,36.059128,1.6968799,249.14,300.0,37.25,-78.0,12:00:00,1681056000.0
39379.758,35.879128,1.4868798,249.15999,300.0,37.25,-77.75,12:00:00,1681056000.0
39381.117,35.879128,1.1668799,249.09999,300.0,37.25,-77.5,12:00:00,1681056000.0
39360.797,35.659126,4.30688,248.18999,300.0,37.0,-81.5,12:00:00,1681056000.0
39362.156,35.699127,4.17688,248.23999,300.0,37.0,-81.25,12:00:00,1681056000.0
39364.4,35.649128,3.9968798,248.34,300.0,37.0,-81.0,12:00:00,1681056000.0
39367.117,35.609127,3.7568798,248.4,300.0,37.0,-80.75,12:00:00,1681056000.0
39369.918,35.679127,3.4468799,248.48999,300.0,37.0,-80.5,12:00:00,1681056000.0
39372.477,35.75913,3.0668797,248.65,300.0,37.0,-80.25,12:00:00,1681056000.0
39374.957,35.719128,2.6968799,248.84,300.0,37.0,-80.0,12:00:00,1681056000.0
39377.836,35.499126,2.40688,248.95999,300.0,37.0,-79.75,12:00:00,1681056000.0
