HGT,UWind,VWind,latitude,longitude,forecast_time_hr,forecast_time_unix
198.85532,0.5868189,-1.4921288,36.5,-81.5,12,1745762400
198.79532,0.5868189,-2.842129,36.5,-81.25,12,1745762400
199.11531,0.80681884,-3.7921288,36.5,-81.0,12,1745762400
199.57532,0.27681884,-3.152129,36.5,-80.75,12,1745762400
198.89531,-0.52318114,-2.672129,36.5,-80.5,12,1745762400
199.9553,-0.9231812,-2.582129,36.5,-80.25,12,1745762400
200.97531,-0.9731811,-3.4821289,36.5,-80.0,12,1745762400
201.13531,-0.96318114,-4.212129,36.5,-79.75,12,1745762400
200.97531,-0.56318116,-3.932129,36.5,-79.5,12,1745762400
200.19531,-0.6731812,-5.1721287,36.5,-79.25,12,1745762400
200.07532,-0.70318115,-5.3621287,36.5,-79.0,12,1745762400
199.03531,-1.1231811,-5.512129,36.5,-78.75,12,1745762400
198.35532,-0.6731812,-6.1321287,36.5,-78.5,12,1745762400
197.41531,-0.38318115,-6.9221287,36.5,-78.25,12,1745762400
196.01532,0.29681885,-7.542129,36.5,-78.0,12,1745762400
194.97531,0.27681884,-8.762129,36.5,-77.75,12,1745762400
193.63531,0.5868189,-8.572129,36.5,-77.5,12,1745762400
210.83531,0.10681885,-1.622129,36.75,-81.5,12,1745762400
207.2353,0.54681885,-2.402129,36.75,-81.25,12,1745762400
206.97531,1.2768189,-3.862129,36.75,-81.0,12,1745762400
204.19531,1.0368189,-4.042129,36.75,-80.75,12,1745762400
201.53531,0.67681885,-4.3421288,36.75,-80.5,12,1745762400
200.89531,0.48681885,-2.9721289,36.75,-80.25,12,1745762400
200.93532,-0.11318115,-2.912129,36.75,-80.0,12,1745762400
201.61531,-0.37318116,-4.202129,36.75,-79.75,12,1745762400
201.83531,0.026818847,-3.5521288,36.75,-79.5,12,1745762400
201.21532,-0.27318114,-4.412129,36.75,-79.25,12,1745762400
200.89531,-0.37318116,-5.482129,36.75,-79.0,12,1745762400
199.99532,-0.65318114,-5.522129,36.75,-78.75,12,1745762400
199.01532,-0.5531812,-6.3421288,36.75,-78.5,12,1745762400
197.11531,-0.023181152,-7.6121287,36.75,-78.25,12,1745762400
195.77531,0.19681884,-7.792129,36.75,-78.0,12,1745762400
195.01532,0.55681884,-8.602129,36.75,-77.75,12,1745762400
194.05531,0.98681885,-8.752129,36.75,-77.5,12,1745762400
215.47531,-0.26318115,-1.5621289,37.0,-81.5,12,1745762400
213.4553,0.50681883,-2.2221289,37.0,-81.25,12,1745762400
211.57532,1.1368189,-2.5521288,37.0,-81.0,12,1745762400
208.89531,0.87681884,-2.812129,37.0,-80.75,12,1745762400
209.25531,1.4268188,-3.7421288,37.0,-80.5,12,1745762400
203.99532,1.2668189,-2.952129,37.0,-80.25,12,1745762400
201.51532,0.47681886,-2.862129,37.0,-80.0,12,1745762400
202.3753,0.60681885,-4.192129,37.0,-79.75,12,1745762400
202.29532,0.90681887,-2.922129,37.0,-79.5,12,1745762400
201.21532,0.44681886,-3.2421288,37.0,-79.25,12,1745762400
201.2353,0.24681884,-4.462129,37.0,-79.0,12,1745762400
200.3753,-0.14318115,-4.572129,37.0,-78.75,12,1745762400
199.3153,-0.6031811,-6.082129,37.0,-78.5,12,1745762400
197.8153,0.28681886,-7.1721287,37.0,-78.25,12,1745762400
196.79532,0.65681887,-7.352129,37.0,-78.0,12,1745762400
195.91531,1.0968188,-8.172129,37.0,-77.75,12,1745762400
195.01532,1.6068188,-8.662128,37.0,-77.5,12,1745762400
222.65532,-0.93318117,-1.7121289,37.25,-81.5,12,1745762400
220.47531,-0.013181153,-1.9021289,37.25,-81.25,12,1745762400
215.9553,0.39681885,-2.0021288,37.25,-81.0,12,1745762400
212.89531,1.2068188,-1.892129,37.25,-80.75,12,1745762400
207.77531,0.92681885,-2.2721288,37.25,-80.5,12,1745762400
205.27531,0.48681885,-1.9821289,37.25,-80.25,12,1745762400
203.8153,0.97681886,-2.2621288,37.25,-80.0,12,1745762400
203.89531,1.2868189,-3.402129,37.25,-79.75,12,1745762400
203.05531,1.3168188,-2.072129,37.25,-79.5,12,1745762400
201.3753,1.0168189,-3.132129,37.25,-79.25,12,1745762400
201.15532,0.54681885,-2.632129,37.25,-79.0,12,1745762400
200.11531,0.09681885,-2.692129,37.25,-78.75,12,1745762400
200.17531,-0.36318114,-6.042129,37.25,-78.5,12,1745762400
199.35532,0.86681885,-6.9221287,37.25,-78.25,12,1745762400
198.03531,1.2868189,-6.332129,37.25,-78.0,12,1745762400
196.75531,1.5368189,-7.232129,37.25,-77.75,12,1745762400
195.5953,2.326819,-8.022129,37.25,-77.5,12,1745762400
222.07532,-1.8531811,-2.4821289,37.5,-81.5,12,1745762400
219.61531,-1.0331812,-2.852129,37.5,-81.25,12,1745762400
217.69531,-0.20318115,-2.5521288,37.5,-81.0,12,1745762400
216.57532,0.37681884,-2.2521288,37.5,-80.75,12,1745762400
213.9553,0.68681884,-2.2821288,37.5,-80.5,12,1745762400
209.77531,0.96681887,-1.6821289,37.5,-80.25,12,1745762400
205.83531,0.91681886,-2.112129,37.5,-80.0,12,1745762400
206.33531,0.80681884,-2.2821288,37.5,-79.75,12,1745762400
202.77531,0.8368189,-1.7921289,37.5,-79.5,12,1745762400
202.2353,1.0068189,-2.2221289,37.5,-79.25,12,1745762400
201.85532,1.0568188,-1.6621289,37.5,-79.0,12,1745762400
200.85532,0.18681885,-2.202129,37.5,-78.75,12,1745762400
200.93532,0.66681886,-5.582129,37.5,-78.5,12,1745762400
199.41531,1.6768188,-6.522129,37.5,-78.25,12,1745762400
197.91531,1.9468188,-5.762129,37.5,-78.0,12,1745762400
196.0953,2.4468188,-7.482129,37.5,-77.75,12,1745762400
193.93532,3.2268188,-8.752129,37.5,-77.5,12,1745762400
412.6572,0.57962155,-1.4909644,36.5,-81.5,12,1745762400
412.57718,0.5896216,-2.8409643,36.5,-81.25,12,1745762400
412.51718,0.7996216,-3.7909644,36.5,-81.0,12,1745762400
412.79718,0.27962157,-3.1509643,36.5,-80.75,12,1745762400
412.4372,-0.67037845,-3.4909644,36.5,-80.5,12,1745762400
413.2172,-1.2503784,-3.9109643,36.5,-80.25,12,1745762400
413.7572,-1.5603784,-5.8409643,36.5,-80.0,12,1745762400
413.5972,-1.5403785,-7.6109643,36.5,-79.75,12,1745762400
413.0372,-1.0303785,-6.2409644,36.5,-79.5,12,1745762400
412.41718,-0.7903784,-6.7409644,36.5,-79.25,12,1745762400
411.79718,-0.9003784,-7.040964,36.5,-79.0,12,1745762400
410.45718,-1.3403784,-6.7009645,36.5,-78.75,12,1745762400
409.6172,-0.8803784,-7.1809645,36.5,-78.5,12,1745762400
408.69717,-0.4303784,-8.020965,36.5,-78.25,12,1745762400
407.2772,0.3196216,-8.670964,36.5,-78.0,12,1745762400
405.9372,0.3496216,-9.800964,36.5,-77.75,12,1745762400
404.41718,0.7096216,-9.360965,36.5,-77.5,12,1745762400
422.7772,0.109621584,-1.6209644,36.75,-81.5,12,1745762400
419.6772,0.5496216,-2.4009643,36.75,-81.25,12,1745762400
419.1172,1.2696216,-3.8709643,36.75,-81.0,12,1745762400
416.5372,1.0396216,-4.040964,36.75,-80.75,12,1745762400
414.0372,0.6696216,-4.3509645,36.75,-80.5,12,1745762400
413.6772,0.48962158,-2.9709644,36.75,-80.25,12,1745762400
413.85718,-0.18037842,-4.500964,36.75,-80.0,12,1745762400
414.07718,-0.48037842,-7.210964,36.75,-79.75,12,1745762400
413.8772,-0.05037842,-5.940964,36.75,-79.5,12,1745762400
413.29718,-0.47037843,-6.8609643,36.75,-79.25,12,1745762400
412.3972,-0.4603784,-6.6809645,36.75,-79.0,12,1745762400
411.3172,-0.74037844,-6.540964,36.75,-78.75,12,1745762400
410.1772,-0.74037844,-7.5509644,36.75,-78.5,12,1745762400
408.29718,-0.05037842,-8.940965,36.75,-78.25,12,1745762400
406.85718,0.20962158,-9.030964,36.75,-78.0,12,1745762400
405.85718,0.6496216,-9.840964,36.75,-77.75,12,1745762400
404.5972,1.0996215,-9.720964,36.75,-77.5,12,1745762400
426.5572,-0.26037842,-1.5609643,37.0,-81.5,12,1745762400
424.8372,0.49962157,-2.2209644,37.0,-81.25,12,1745762400
423.1172,1.1296216,-2.5509644,37.0,-81.0,12,1745762400
420.63718,0.8696216,-2.8109643,37.0,-80.75,12,1745762400
420.4372,1.4296216,-3.7409644,37.0,-80.5,12,1745762400
415.9972,1.2696216,-2.9509645,37.0,-80.25,12,1745762400
414.07718,0.49962157,-3.0209644,37.0,-80.0,12,1745762400
414.57718,1.1696216,-6.8909645,37.0,-79.75,12,1745762400
414.07718,1.3896216,-4.8609643,37.0,-79.5,12,1745762400
413.1772,0.69962156,-6.0709643,37.0,-79.25,12,1745762400
412.6572,0.30962157,-6.0309644,37.0,-79.0,12,1745762400
411.7772,-0.31037843,-5.6809645,37.0,-78.75,12,1745762400
410.5572,-0.67037845,-7.960964,37.0,-78.5,12,1745762400
408.7172,0.33962157,-9.030964,37.0,-78.25,12,1745762400
407.51718,0.74962157,-8.620964,37.0,-78.0,12,1745762400
406.47717,1.2196215,-9.400965,37.0,-77.75,12,1745762400
405.29718,1.7296215,-9.680964,37.0,-77.5,12,1745762400
432.8772,-0.9403784,-1.7109643,37.25,-81.5,12,1745762400
430.97717,-0.010378418,-1.9009644,37.25,-81.25,12,1745762400
427.01718,0.39962158,-2.0009644,37.25,-81.0,12,1745762400
423.97717,1.1996216,-1.8909644,37.25,-80.75,12,1745762400
419.3972,0.9196216,-2.2709644,37.25,-80.5,12,1745762400
417.1572,0.48962158,-1.9809643,37.25,-80.25,12,1745762400
416.01718,1.0396216,-2.4109643,37.25,-80.0,12,1745762400
415.6172,1.9996216,-5.2609644,37.25,-79.75,12,1745762400
414.41718,1.5596216,-2.9409645,37.25,-79.5,12,1745762400
413.19717,1.6596216,-5.440964,37.25,-79.25,12,1745762400
412.5972,0.7196216,-4.440964,37.25,-79.0,12,1745762400
411.5972,0.07962158,-4.3609643,37.25,-78.75,12,1745762400
411.07718,-0.09037842,-7.7609644,37.25,-78.5,12,1745762400
409.8372,0.99962157,-8.410964,37.25,-78.25,12,1745762400
408.3372,1.3796216,-7.3709645,37.25,-78.0,12,1745762400
406.9972,1.6796216,-8.380964,37.25,-77.75,12,1745762400
405.6772,2.4696217,-9.170964,37.25,-77.5,12,1745762400
432.8772,-1.8603784,-2.4809644,37.5,-81.5,12,1745762400
430.4972,-1.0303785,-2.8509643,37.5,-81.25,12,1745762400
428.7172,-0.20037842,-2.5509644,37.5,-81.0,12,1745762400
427.51718,0.3796216,-2.2609644,37.5,-80.75,12,1745762400
424.8972,0.68962157,-2.2809644,37.5,-80.5,12,1745762400
420.85718,0.9596216,-1.6809644,37.5,-80.25,12,1745762400
417.3172,0.9196216,-2.1109643,37.5,-80.0,12,1745762400
417.29718,0.7896216,-2.2409644,37.5,-79.75,12,1745762400
414.3372,0.8596216,-1.8909644,37.5,-79.5,12,1745762400
413.47717,1.6796216,-3.5809643,37.5,-79.25,12,1745762400
412.8772,1.4596215,-2.9509645,37.5,-79.0,12,1745762400
411.73718,0.46962157,-3.6709642,37.5,-78.75,12,1745762400
411.3372,0.93962157,-7.2809644,37.5,-78.5,12,1745762400
409.7772,1.9396216,-8.020965,37.5,-78.25,12,1745762400
408.0372,2.0696216,-6.8709645,37.5,-78.0,12,1745762400
406.3172,2.5596216,-8.960964,37.5,-77.75,12,1745762400
404.29718,3.5096216,-10.300964,37.5,-77.5,12,1745762400
630.956,0.58382326,-1.4876392,36.5,-81.5,12,1745762400
630.86,0.58382326,-2.837639,36.5,-81.25,12,1745762400
630.428,0.80382323,-3.7876391,36.5,-81.0,12,1745762400
630.108,0.46382323,-5.507639,36.5,-80.75,12,1745762400
629.82,-0.7461768,-5.1276393,36.5,-80.5,12,1745762400
630.236,-1.1461768,-4.847639,36.5,-80.25,12,1745762400
630.268,-1.6461768,-6.447639,36.5,-80.0,12,1745762400
629.836,-1.5261768,-8.187639,36.5,-79.75,12,1745762400
628.94,-1.1961768,-6.467639,36.5,-79.5,12,1745762400
628.524,-0.84617674,-7.287639,36.5,-79.25,12,1745762400
627.356,-0.90617675,-7.447639,36.5,-79.0,12,1745762400
625.724,-1.3761767,-6.867639,36.5,-78.75,12,1745762400
624.796,-0.9961768,-7.687639,36.5,-78.5,12,1745762400
623.868,-0.41617677,-8.457639,36.5,-78.25,12,1745762400
622.444,0.32382324,-9.11764,36.5,-78.0,12,1745762400
620.812,0.42382324,-10.187639,36.5,-77.75,12,1745762400
619.116,0.80382323,-9.78764,36.5,-77.5,12,1745762400
639.148,0.11382324,-1.6276392,36.75,-81.5,12,1745762400
636.572,0.54382324,-2.4076393,36.75,-81.25,12,1745762400
635.724,1.2738233,-3.867639,36.75,-81.0,12,1745762400
633.34,1.0338233,-4.037639,36.75,-80.75,12,1745762400
631.004,0.67382324,-4.347639,36.75,-80.5,12,1745762400
630.78,0.67382324,-4.217639,36.75,-80.25,12,1745762400
630.476,-0.19617675,-5.477639,36.75,-80.0,12,1745762400
630.204,-0.35617676,-8.057639,36.75,-79.75,12,1745762400
629.692,-0.13617676,-6.267639,36.75,-79.5,12,1745762400
629.212,-0.60617673,-7.387639,36.75,-79.25,12,1745762400
627.804,-0.49617675,-7.037639,36.75,-79.0,12,1745762400
626.572,-0.75617677,-6.907639,36.75,-78.75,12,1745762400
625.244,-0.8661768,-8.137639,36.75,-78.5,12,1745762400
623.372,-0.06617676,-9.467639,36.75,-78.25,12,1745762400
621.82,0.16382325,-9.477639,36.75,-78.0,12,1745762400
620.604,0.67382324,-10.387639,36.75,-77.75,12,1745762400
619.036,1.1538233,-10.197639,36.75,-77.5,12,1745762400
642.06,-0.26617676,-1.5576391,37.0,-81.5,12,1745762400
640.668,0.5038232,-2.2176392,37.0,-81.25,12,1745762400
639.084,1.1338233,-2.5476391,37.0,-81.0,12,1745762400
636.828,0.8738232,-2.8076391,37.0,-80.75,12,1745762400
636.076,1.4238232,-3.7376392,37.0,-80.5,12,1745762400
632.444,1.2738233,-2.9776392,37.0,-80.25,12,1745762400
630.748,0.80382323,-4.687639,37.0,-80.0,12,1745762400
630.46,1.4538232,-7.7976394,37.0,-79.75,12,1745762400
629.548,1.2838233,-5.207639,37.0,-79.5,12,1745762400
628.94,0.53382325,-6.687639,37.0,-79.25,12,1745762400
627.948,0.23382324,-6.477639,37.0,-79.0,12,1745762400
627.052,-0.41617677,-6.137639,37.0,-78.75,12,1745762400
625.66,-0.6161768,-8.677639,37.0,-78.5,12,1745762400
623.484,0.30382323,-9.477639,37.0,-78.25,12,1745762400
622.14,0.70382327,-9.07764,37.0,-78.0,12,1745762400
620.908,1.2038232,-9.967639,37.0,-77.75,12,1745762400
619.484,1.7238232,-10.187639,37.0,-77.5,12,1745762400
647.532,-0.9361768,-1.7176392,37.25,-81.5,12,1745762400
645.916,-0.0061767576,-1.8976392,37.25,-81.25,12,1745762400
642.492,0.40382326,-1.9976392,37.25,-81.0,12,1745762400
639.468,1.2038232,-1.8976392,37.25,-80.75,12,1745762400
635.436,0.90382326,-2.2276392,37.25,-80.5,12,1745762400
